,id,game_name,release_date,developers,publishers,features,req_age,initial_price,final_price,achievements,discount_per,num_dlc,is_free,num_movies,num_languages,recommendations,reviews,num_screenshots,short_descr
0,236390.0,War Thunder,2013-08-15,Gaijin Entertainment,Gaijin Distribution KFT,", , , , , , , , Steam , ,  VR, , , ",0.0,0.0,0.0,53.0,0.0,32.0,True,2.0,18.0,1749.0,"quot;War Thunder is extremely easy to slip intoquot;bra hrefhttp:www.rockpapershotgun.com20130118theflarepathisthunderstruck targetblank rel  Rock, Paper, Shotgunabrbrquot;Most Historically Educational Way to Destroy Planesquot;bra hrefhttps:steamcommunity.comlinkfilterurlhttp:www.gamespot.comarticlesgamescomfreetoplayawardshowcasespectacular11006392233 targetblank rel noopener  GameSpotabrbrquot;With fun, exciting combat combined with plenty of customization and room for personal skill, this game is sure to be a fan favorite.quot;bra hrefhttps:steamcommunity.comlinkfilterurlhttps:www.mmorpg.comwarthunderreviewsgaijinstrikesgold2000055163 targetblank rel noopener  MMORPGa",26.0,"War Thunder is the most comprehensive freetoplay, crossplatform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea."
1,739630.0,Phasmophobia,2020-09-18,Kinetic Games,Kinetic Games,"Singleplayer, Multiplayer, Coop, Online Coop, Full controller support, Tracked Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet",0.0,15.49,15.49,0.0,0.0,0.0,False,2.0,26.0,446240.0,A truly terrifying psychological online coop ghost hunting experiencebra hrefhttps:www.pcgamer.comukphasmophobiaonlinecoopghosthuntinggame targetblank rel  PC GamerabrbrPhasmophobia has certainly possessed a lot of playersbra hrefhttps:www.rockpapershotgun.com20201007phasmophobiahascertainlypossessedalotofplayers targetblank rel  Rock Paper ShotgunabrbrPhasmophobia Is a New Steam and Twitch Sensationbra hrefhttps:www.ign.comarticlesphasmophobiasteamtwitchtop10 targetblank rel  IGNabr,7.0,Phasmophobia is a 4 player online coop psychological horror. Paranormal activity is on the rise and its up to you and your team to use all the ghosthunting equipment at your disposal in order to gather as much evidence as you can.
2,1250410.0,Microsoft Flight Simulator 40th Anniversary Edition,2020-08-17,Asobo Studio,Xbox Game Studios,"Singleplayer, Multiplayer, Steam Achievements, Full controller support, VR Supported, InApp Purchases",0.0,59.99,59.99,43.0,0.0,0.0,False,1.0,13.0,44483.0,No reviews,23.0,"From gliders and helicopters to widebody jets, fly highly detailed and accurate aircraft in the Microsoft Flight Simulator 40th Anniversary Edition. The world is at your fingertips."
3,223750.0,DCS World Steam Edition,2013-08-02,Eagle Dynamics SA,,"Singleplayer, Multiplayer, PvP, Online PvP, LAN PvP, Coop, Online Coop, LAN Coop, VR Supported, Captions available, VR Support, Partial Controller Support, Includes level editor",0.0,0.0,0.0,0.0,0.0,122.0,True,2.0,7.0,556.0,No reviews,25.0,Feel the excitement of flying the Su25T quot;Frogfootquot; attack jet and the TF51D quot;Mustangquot; in the freetoplay Digital Combat Simulator World
4,438100.0,VRChat,2017-02-01,VRChat Inc.,VRChat Inc.,"Multiplayer, MMO, PvP, Online PvP, Coop, Online Coop, CrossPlatform Multiplayer, Full controller support, Tracked Controller Support, VR Supported",0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0,151.0,No reviews,8.0,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat."
5,805550.0,Assetto Corsa Competizione,2019-05-29,Kunos Simulazioni,505 Games,"Singleplayer, Multiplayer, PvP, Online PvP, LAN PvP, VR Supported, Partial Controller Support",0.0,39.99,39.99,0.0,0.0,7.0,False,7.0,12.0,17050.0,"Assetto Corsa Competizione has an exceptional DNA: more than a driving game, its a toplevel simulator, developed by and for pro drivers.br85  a hrefhttps:steamcommunity.comlinkfilterurlhttps:multiplayer.itrecensioniassettocorsacompetizionerecensione.html targetblank rel noopener  MultiplayerabrbrFeatures of Assetto Corsa Competizione Dedition, passion and elbow grease, servicing talent.br9  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.ilvideogioco.com20190607assettocorsacompetizionerecensione targetblank rel noopener  Il VideogiocoabrbrKunos Simulazioni brings the GT Series in our home, and you dont need a superlicence to drivebr9  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.eurogamer.itarticles20190603assettocorsacompetizionerecensione targetblank rel noopener  Eurogamerabr",88.0,"Assetto Corsa Competizione, the official GT World Challenge videogame. Thanks to the extraordinary quality of simulation, you will experience the atmosphere of the GT3 championship. Compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen."
6,244210.0,Assetto Corsa,2014-12-19,Kunos Simulazioni,Kunos Simulazioni,"Singleplayer, Multiplayer, PvP, Online PvP, Steam Achievements, VR Supported, Partial Controller Support, Steam Leaderboards, Includes level editor",0.0,19.99,19.99,709.0,0.0,11.0,False,11.0,4.0,71379.0,No reviews,141.0,"Assetto Corsa v1.16 introduces the new quot;Laguna Secaquot; laserscanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio Check the changelog for further info"
7,1943950.0,Escape the Backrooms,2022-08-11,Fancy Games,Fancy Games,"Singleplayer, Multiplayer, Coop, Online Coop, Steam Achievements, Tracked Controller Support, VR Supported, Steam Cloud",0.0,9.99,9.99,20.0,0.0,0.0,False,1.0,6.0,14590.0,No reviews,13.0,Escape the Backrooms is a 14 player coop horror exploration game. Traverse through eerie backrooms levels while avoiding entities and other danger to try and escape. Free content updates with new levels and game modes keep the community rewarded.
8,620980.0,Beat Saber,2019-05-21,Beat Games,Beat Games,"Einzelspieler, Mehrspieler, PvP, OnlinePvP, Untersttzung fr erfasste Controller, Nur VR, SteamBestenlisten",0.0,29.99,29.99,26.0,0.0,152.0,False,1.0,7.0,62286.0,No reviews,5.0,"Beat Saber ist ein VRRhythmusspiel, in dem du die Beats der adrenalingeladenen Musik schlagen musst, sobald sie in der futuristischen Spielwelt auf dich zufliegen."
9,266410.0,iRacing,2015-01-12,"iRacing.com Motorsport Simulations, iRacing","iRacing.com Motorsport Simulations, iRacing","Singleplayer, Multiplayer, MMO, PvP, Online PvP, VR Support, Partial Controller Support",0.0,9.99,9.99,0.0,0.0,0.0,False,5.0,1.0,1626.0,Why iRacings FactorySupported Mercedes F1 Car Is Such a Big Deal for Sim Racingbra hrefhttps:steamcommunity.comlinkfilterurlhttps:www.carbibles.comwhyiracingsfactorysupportedmercedesf1carissuchabigdealforsimracing targetblank rel noopener  Car BiblesabrbriRacing has boosted NASCAR during the pandemic. Now esports may help shape racings future.bra hrefhttps:steamcommunity.comlinkfilterurlhttps:www.washingtonpost.comvideogamesesports20201029nascaresportsfuture targetblank rel noopener  Washington PostabrbriRacing: The closest a gamer can get to real racingbra hrefhttps:steamcommunity.comlinkfilterurlhttps:www.autoweek.comracinga1816346iracingclosestgamercangetrealracing targetblank rel noopener  Autoweekabr,19.0,"We are the worlds premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home."
10,275850.0,No Mans Sky,2016-08-12,Hello Games,Hello Games,"Singleplayer, Multiplayer, PvP, Online PvP, Coop, Online Coop, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Cloud, Remote Play on Tablet, Remote Play on TV",0.0,59.99,59.99,27.0,0.0,0.0,False,21.0,14.0,202443.0,"utterly breathtakingbr910  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.gamespot.comreviewsnomansskybeyondreviewreachforthestars19006417292 targetblank rel noopener  GameSpotabrbrSoulful, technically proficient and at times almost tearfully beautifulbr55  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.theguardian.comgames2019sep12nomansskybeyondachildhoodfantasyrealised targetblank rel noopener  The Guardianabr",86.0,No Mans Sky is a game about exploration and survival in an infinite procedurally generated universe.
12,286160.0,Tabletop Simulator,2015-06-05,Berserk Games,Berserk Games,"Singleplayer, Multiplayer, PvP, Online PvP, SharedSplit Screen PvP, Coop, Online Coop, SharedSplit Screen Coop, SharedSplit Screen, CrossPlatform Multiplayer, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together",0.0,19.99,19.99,27.0,0.0,42.0,False,4.0,1.0,36846.0,"Tabletop Simulator makes me so happybra hrefhttp:www.rockpapershotgun.com20140217tabletopsimulatormakesmesohappy targetblank rel  Rock, Paper, ShotgunabrbrThe ingenuity that went into making this Tabletop Simulator is pretty impressive.bra hrefhttps:steamcommunity.comlinkfilterurlhttp:www.polygon.com20144245649976tabletopsimulatoroverviewvideo targetblank rel noopener  PolygonabrbrIts just a really nice way to play and experiment with new board games.bra hrefhttps:www.youtube.comwatchvlviEQbth308 targetblank rel  Nerdabr",13.0,"Tabletop Simulator is the only simulator where you can let your aggression out by flipping the table There are no rules to follow: just you, a physics sandbox, and your friends. Make your own online board games or play the thousands of community created mods. Unlimited gaming possibilities"
13,1957780.0,Ghosts of Tabor,2023-03-20,Combat Waffle Studios,Beyond Frames,"Multiplayer, PvP, Online PvP, Tracked Controller Support, VR Only",17.0,19.99,19.99,0.0,0.0,3.0,False,1.0,1.0,1471.0,No reviews,7.0,"Ghosts of Tabor is VRs only FPS PVP and PVE survival game where you will use your wits, skills and resources to survive. Inspired by games such as Escape from Tarkov and DayZ, featuring different scenarios from scavenging to looting and crafting. Will you survive long enough to make it out alive"
14,667970.0,VTOL VR,2017-08-03,"Boundless Dynamics, LLC","Boundless Dynamics, LLC","Singleplayer, Multiplayer, PvP, Online PvP, Coop, Online Coop, Tracked Controller Support, VR Only, Steam Workshop, Includes level editor",0.0,29.99,29.99,0.0,0.0,2.0,False,3.0,4.0,10583.0,No reviews,15.0,"VTOL VR is a nearfuturistic combat flight game built for Virtual Reality. Pilot advanced multirole jets, using your hands to flip switches, press buttons, and manipulate the virtual flight controls."
15,546560.0,HalfLife: Alyx,2020-03-23,Valve,Valve,"Singleplayer, Steam Achievements, Tracked Controller Support, VR Only, Captions available, VR Support, Steam Workshop, Includes level editor",0.0,59.99,59.99,42.0,0.0,1.0,False,4.0,28.0,69015.0,No reviews,12.0,"HalfLife: Alyx is Valves VR return to the HalfLife series. Its the story of an impossible fight against a vicious alien race known as the Combine, set between the events of HalfLife and HalfLife 2. Playing as Alyx Vance, you are humanitys only chance for survival."
16,1196590.0,Resident Evil Village,2021-05-06,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Singleplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",17.0,39.99,39.99,56.0,0.0,7.0,False,4.0,13.0,62119.0,"Village doesnt pull any punches when it comes to horrorbr9.25  10  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.gameinformer.comreviewresidentevilvillageresidentevilvillagereviewpaintingtheghosttownred targetblank rel noopener  Game InformerabrbrResident Evil Village is at once terrifying, exhilarating, hilarious, and beautiful.br4.5  5  a hrefhttps:steamcommunity.comlinkfilterurlhttps:wegotthiscovered.comgamingresidentevilvillagereview targetblank rel noopener  We Got This CoveredabrbrEach section is fun, intense, and, naturally, frightening in its own waybr9  10  a hrefhttps:steamcommunity.comlinkfilterurlhttps:www.gamespot.comreviewsresidentevilvillagereviewshapeshifter19006417672 targetblank rel noopener  GameSpotabr",10.0,"Experience survival horror like never before in the 8th major installment in the Resident Evil franchise  Resident Evil Village. With detailed graphics, intense firstperson action and masterful storytelling, the terror has never felt more realistic."
17,1533390.0,Gorilla Tag,2023-01-01,Another Axiom,Another Axiom,"Multiplayer, PvP, Online PvP, CrossPlatform Multiplayer, Tracked Controller Support, VR Only, InApp Purchases",0.0,19.99,19.99,0.0,0.0,0.0,False,1.0,1.0,2710.0,No reviews,6.0,"Run, jump, and climb using only your hands. Play tag or infection with people online. Run away from the infected players, or outmaneuver the survivors to catch them. Embrace your inner ape."
18,767560.0,War Robots,2018-04-04,Pixonic,Pixonic,"Multiplayer, PvP, Online PvP, Steam Trading Cards, InApp Purchases",0.0,0.0,0.0,0.0,0.0,0.0,True,2.0,15.0,0.0,No reviews,5.0,"War Robots is an online thirdperson 6v6 PvP shooterwere talking dozens of combat robots, hundreds of weapons combinations, and heated clan battles."
19,629730.0,Blade and Sorcery,2018-12-11,WarpFrog,WarpFrog,"Singleplayer, Tracked Controller Support, VR Only",0.0,19.99,19.99,0.0,0.0,0.0,False,3.0,1.0,39023.0,No reviews,17.0,"Blade amp; Sorcery is a builtforVR medieval fantasy sandbox with full physics driven melee, ranged and magic combat. Become a powerful warrior, ranger or sorcerer and devastate your enemies."
20,1922010.0,Breachers,2023-04-13,Triangle Factory,Triangle Factory,"Singleplayer, Multiplayer, PvP, Online PvP, CrossPlatform Multiplayer, Tracked Controller Support, VR Supported",13.0,29.99,29.99,0.0,0.0,0.0,False,2.0,19.0,408.0,No reviews,7.0,"Breachers is a tactical 5v5 VR FPS. Plan your assault or orchestrate your defense as a team through intense closequarters combat. Climb, vault, rappel, swing, shoot and strategize your way to victory in stunning environments."
21,418370.0,Resident Evil 7 Biohazard,2017-01-23,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Singleplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",17.0,19.99,19.99,58.0,0.0,6.0,False,1.0,14.0,47047.0,the best Resident Evil game in ten yearsbr1010  a hrefhttps:www.destructoid.comreviewresidentevil7biohazard413909.phtml targetblank rel  DestructoidabrbrThis is absolutely a buybrNA  a hrefhttps:m.youtube.comwatchvlZoeUMqfrwYamp;t610s targetblank rel  ACG video reviewabrbr910  a hrefhttps:steamcommunity.comlinkfilterurlhttp:www.pcgamesn.comresidentevil7residentevil7pcreview targetblank rel noopener  PC GamesNabr,6.0,Fear and isolation seep through the walls of an abandoned southern farmhouse. quot;7quot; marks a new beginning for survival horror with the Isolated View of the visceral new firstperson perspective.
22,230290.0,Universe Sandbox,2015-08-24,Giant Army,Giant Army,"Singleplayer, Steam Workshop, Partial Controller Support",0.0,29.99,20.09,0.0,33.0,0.0,False,3.0,28.0,17308.0,No reviews,21.0,"Create amp; destroy on an unimaginable scale with a realistic physicsbased space simulator. Explore the beauty of our universe and the fragility of our planet. Use science to bend the laws of gravity, collide planets, boil away oceans, fire epic space lasers, and customize your universe. VR optional."
23,359320.0,Elite Dangerous,2015-04-02,Frontier Developments,Frontier Developments,"Singleplayer, Multiplayer, MMO, Coop, VR Supported, VR Support, InApp Purchases, Partial Controller Support, Remote Play on Tablet",0.0,29.99,29.99,0.0,0.0,3.0,False,6.0,6.0,67161.0,Capable of delivering some of the best stories about spaceships youve ever taken part inbr86  a hrefhttp:www.pcgamer.comelitedangerousreview targetblank rel  PC GamerabrbrSatisfying handling that sets a new standard for any cockpitbased genre.br810  Edge MagazinebrbrShining Bright Like a Supernovabr95  a hrefhttps:steamcommunity.comlinkfilterurlhttp:thekoalition.comreviewselitedangerousreviewshiningbrightlikeasupernova targetblank rel noopener  The Koalitionabr,10.0,Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic.
